REGION,DISTRICT,SUBDIS,GHS_SUBDIS,LOCALITY,FACILITY,GHS_FACILITY,TYPE,OWNERSHIP,LATITUDE,LONGITUDE,Area,Region_202,Region_201,Code,Anemia
Western,Wassa Amenfi Central,Manso Amenfi,Daboase,Adidaase,Adidaase Clinic,Daboase Health Centre,Health Centre,Government,5.552752,-2.293888,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,Effia Nkwanta,Adiembra,Adiembra Community Chps Compound,Adiembra CHPS (Sekondi),Community Health Planning Services (CHPS) Compound,Government,4.939689,-1.733298,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Anaji,Whindo,Adientem,Adientem Community Clinic,Adientem CHPS,Community Health Planning Services (CHPS) Compound,Government,4.936677,-1.790678,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,Bogoso,Bgl Staff Quarters,Adikanfo Clinic  Bogoso,Bogoso Health Centre,Health Centre,Government,5.511485,-2.049305,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Adjakaa Manso,Adjakaa Manso,Agyaka-Manso,Adjakaa Manso Health Centre,Adjakaa Manso Health Centre,Health Centre,Government,6.033487,-2.285601,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,Apowa,Adjoa,Adjua Chps Compound,Adjuah CHPS,Community Health Planning Services (CHPS) Compound,Government,4.875834,-1.815135,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,Takoradi,Kweikuma,Adomako Kwakye'S House Near Adom Akyedze  On The Ayeh Kumi Street,Tadi High Street Clinic,Clinic,Private,4.931737,-1.739655,13842,Western,Western,"01",45.9
Western,Ellembelle,Asasetre,Nkroful,Adubrim,Adubrim Chip,Adubrim CHPS,Community Health Planning Services (CHPS) Compound,Government,5.093679,-2.34006,13842,Western,Western,"01",45.9
Western,Mpohor,Adum Banso,Adansi,Adum Banso,Adum Banso Community Clinic,Adansi Community Clinic,Clinic,Government,5.058674,-1.900859,13842,Western,Western,"01",45.9
Western,Mpohor,Adum Banso,Adum Banso,Adum Dominase,Adum D. Chp'S Compound,Adum Banso Community Clinic,Clinic,Government,5.039261,-1.922375,13842,Western,Western,"01",45.9
Western,Jomoro,Half Assini,Half Assini,Edu (Adu),Adusuazo Chip Compoud,Adusuazo CHPS,Community Health Planning Services (CHPS) Compound,Government,5.08233,-2.850286,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Afransie,Afransie,Afransie,Afransie Health Centre,Afransie Health Centre,Health Centre,Government,5.913311,-2.12499,13842,Western,Western,"01",45.9
Western,Shama,Aboadze Abuesi,,Abuesi,African Faith Tabernacle Mission,,,,4.982204,-1.639203,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,Asankran Breman,Kabre Krom,Aggreyso Krofofrom Chps,Odakrofofrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.630031,-2.474321,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Agona Amenfi,Agona Amenfi,Agona Amenfi,Agona (Wassa Amenfi Central) Health Centre,Agona (Wassa Amenfi Central) Health Centre,Health Centre,Government,5.950218,-2.320807,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Bonsie,Agona Amenfi,Kyenkyen Nkwanta,Agona Camp Chps Compound,Agona (Wassa Amenfi Central) Health Centre,Health Centre,Government,5.983287,-2.361756,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Agona,Agona Nkwanta,Agona Health Centre,Agona Health Centre,Health Centre,Government,4.89017,-1.964555,13842,Western,Western,"01",45.9
Western,Shama,Aboadze Abuesi,,Dwomo,Agya  Menendawodo,,,,5.007198,-1.698451,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Princess,Princess,Alabza,Agyambra Chps Compound,Egyambra CHPS,Community Health Planning Services (CHPS) Compound,Government,4.820709,-2.169797,13842,Western,Western,"01",45.9
Western,Nzema East,Axim-Nsein,Axim-Nsein,Agyan (Agyan),Agyan Chips Compound,Agyan CHPS,Community Health Planning Services (CHPS) Compound,Government,4.832294,-2.201518,13842,Western,Western,"01",45.9
Western,Ellembelle,Aiyinase,,Akpandue,Agyii Kabenla'S House,,,,5.016366,-2.443598,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Diabene,,Akromakrom,Ahanta Abasa Clinic,,,,5.020356,-1.787522,13842,Western,Western,"01",45.9
Western,Wassa East,Daboase,Daboase,Daboase,Ahmadiyya Mission Hospital,Ahmadiyya Mission Hospital,District Hospital,Other Faith-Based,5.13066,-1.658117,13842,Western,Western,"01",45.9
Western,Wassa East,Daboase,Daboase,Daboase,Ahmadiyya Muslim Mission Hospital,Ahmadiyya Mission Hospital,District Hospital,Other Faith-Based,5.129627,-1.657807,13842,Western,Western,"01",45.9
Western,Ellembelle,New Aiyinase,New Aiyinase,Aidoo Suazo,Aidoosuazo Health Centre,Aidoosuazo CHPS,Community Health Planning Services (CHPS) Compound,Government,5.278987,-2.374681,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Airforce Barracks,Airforce Clinic,,,,4.893584,-1.772756,13842,Western,Western,"01",45.9
Western,Ellembelle,Aiyinase,Aiyinase,Anyinase,Aiyinase Health Centre,Aiyinase Health Centre,Health Centre,Government,5.043158,-2.465199,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Agona,Aketenkye,Aketenchie  Chps Compound,Akatenchie CHPS,Community Health Planning Services (CHPS) Compound,Government,4.863282,-1.927239,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Manso Amenfi,Bonsie,Akyemkrom,Akyemkrom Clinic,kyeikrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.553118,-2.243691,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),,Mpaninasa,Akyere Me Yansa,,,,4.868814,-1.960937,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,,Gravel Yard,Alavanyo Chps Compound,,,,5.411492,-2.423303,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,,Gravel Yard,Alavanyo Clinic,,,,5.411471,-2.4233,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Kokompe,,Takoradi,Albert Ekow Egyin Aggrey,,,,4.900614,-1.762287,13842,Western,Western,"01",45.9
Western,Wassa East,Daboase,,Daboase,Alex Arkoh,,,,5.134164,-1.656235,13842,Western,Western,"01",45.9
Western,Jomoro,Half Assini,,New Kabenla-Suazo,Alfred Kabenlah,,,,5.064654,-2.775012,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Afransie,,Kofikrom,Alhassan Yakubu,,,,5.871067,-2.15874,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Alice Appiah,,,,4.893196,-1.75519,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,Apowa,New Amanful,Amanful Clinic,New Amanful CHPS,Community Health Planning Services (CHPS) Compound,Government,4.877438,-1.788002,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Mampong (WAE),Asankran-Saa,Amanase,Amenase Chps Compound,Nyamendae CHPS,Community Health Planning Services (CHPS) Compound,Government,6.096827,-2.167145,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran-Saa,Asankrangwa,Bodiekrom,Amoakokrom Chips Compound,Amoakokrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.757692,-2.396295,13842,Western,Western,"01",45.9
Western,Ellembelle,Ampain,Esiama,Ampain,Ampain Chip Compound,Ampain Health Centre,Clinic,Government,4.961759,-2.399672,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,Atobiase,Amponsaso,Amponsaso  Chps Compound,Amponsaso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.419971,-1.607459,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,Apowa,Amoaku (Kojokrom),Amuaku New Clinic,New Amanful CHPS,Community Health Planning Services (CHPS) Compound,Government,5.629193,-2.528452,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,Anaji,Anaji Estate,Anaji Chps Compound,Anaji CHPS,Community Health Planning Services (CHPS) Compound,Government,4.933755,-1.778345,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,Anakum,Anakum,Anakum Chp Compound,Anakum CHPS,Community Health Planning Services (CHPS) Compound,Government,5.619824,-2.37478,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,Anakum,Anakum,Anakum Chps,Anakum CHPS,Community Health Planning Services (CHPS) Compound,Government,5.619865,-2.374856,13842,Western,Western,"01",45.9
Western,Ellembelle,New Aiyinase,New Aiyinase,Naaba Krom \ Yaw Kusasi,Ananekrom Chips Compound,Ananekrom CHPS,Community Health Planning Services (CHPS) Compound,Government,5.283506,-2.444054,13842,Western,Western,"01",45.9
Western,Shama,Adansi,Graveldo,Anapansu,Anapansu Chps Compound,Anapansu CHPS,Community Health Planning Services (CHPS) Compound,Government,5.08786,-1.704561,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Adjakaa Manso,,Agyaka-Manso,Andrews C.K Agyapong,,,,6.036762,-2.289308,13842,Western,Western,"01",45.9
Western,Mpohor,Manso (Mpohor),Manso,Angu,Angu Chips Compound,Angu CHPS,Community Health Planning Services (CHPS) Compound,Government,5.050511,-1.773942,13842,Western,Western,"01",45.9
Western,Jomoro,Newtown,,Jewi Wharf,Animens Ltd,,,,5.086915,-2.942546,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Agona Amenfi,Agona Amenfi,Ankasie,Ankasie Chips Compound,Ankasie CHPS,Community Health Planning Services (CHPS) Compound,Government,5.942035,-2.27529,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Adjakaa Manso,Adjakaa Manso,Ankwaoso,Ankwaso Chps Compound,Ankwawso CHPS,Community Health Planning Services (CHPS) Compound,Government,6.144017,-2.218506,13842,Western,Western,"01",45.9
Western,Shama,Supomu Dunkwa,Supomu Dunkwa,Anlo Beach,Anlo Beach Chps Compound,Anlo Beach CHPS,Community Health Planning Services (CHPS) Compound,Government,5.033571,-1.600246,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anakum,Atobiase,Amuni,Ante Ataa Bonah,Anto (Atobiase Sub District) CHPS,Community Health Planning Services (CHPS) Compound,Government,5.578873,-2.361276,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Iduapriem,,Kwamokrom,Anthoniette Aboagye,,,,5.252813,-2.119894,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,,New Ankasa,Anthony Cobbinah,,,,5.198411,-2.700558,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Anthony Nana Botchwey,,,,4.893877,-1.755965,13842,Western,Western,"01",45.9
Western,Stma-Sekondi,Sekondi,Sekondi,Sekondi,Antie Lily House,Lily Maternity Home,Maternity Home,Private,4.936237,-1.717442,13842,Western,Western,"01",45.9
Western,Shama,Shama,Shama,Abosso,Anto Abosso Chips Compound,Anto CHPS,Community Health Planning Services (CHPS) Compound,Government,5.076014,-1.660273,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,Atobiase,Anto,Anto Chps Compound,Anto (Atobiase Sub District) CHPS,Community Health Planning Services (CHPS) Compound,Government,5.314349,-1.579451,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),,Agona Nkwanta,Anty Aya House,,,,4.890984,-1.97354,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,Elubo,Anweafutu,Anwiafutu Chp Community,Anwiafutu CHPS,Community Health Planning Services (CHPS) Compound,Government,5.164536,-2.68569,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anyinabrim (Wassa Amenfi Central),Anyinabrim,Enyinabrim,Anyinabrim Chps Compound,Anyinabrim (Wassa Amenfi Central) CHPS,Community Health Planning Services (CHPS) Compound,Government,5.750373,-2.229147,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,Akropong (WAE),Nope Krom,Apataase Child Healthcare Centre,Japa CHPS,Community Health Planning Services (CHPS) Compound,Government,5.425804,-2.601658,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,Agona,Nope Krom,Apataase Health Clinic,Adjumako Mpatase CHPS,Community Health Planning Services (CHPS) Compound,Government,5.425533,-2.601967,13842,Western,Western,"01",45.9
Western,Nzema East,Axim-Nsein,Axim-Nsein,Apatiam,Apataim Chps(Uncompleted),Apataim CHPS,Community Health Planning Services (CHPS) Compound,Government,4.915592,-2.230996,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,Agona,Nope Krom,Apatase Chips Compound,Adjumako Mpatase CHPS,Community Health Planning Services (CHPS) Compound,Government,5.425519,-2.601919,13842,Western,Western,"01",45.9
Western,Nzema East,Axim-Nsein,Atobiase,Axim (Lower),Apewasika- Nkekem Community Clinic,Akutuase Community Clinic,Clinic,Government,4.85648,-2.243826,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Apinto Government Hospital,,,,5.305639,-1.986745,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Apinto Government Hospital,,,,5.30575,-1.986931,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Apremdo,,Apremdo,Apollo Clinic,,,,4.909358,-1.792074,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,East Tanokrom,Aponche Clinic/Residential,,,,4.913048,-1.76931,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,Apowa,Apowa,Apowa Health Centre,Apowa Health Centre,Health Centre,Government,4.88793,-1.812189,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Samreboi,Dawurampong,Asante Krom (Camp),Appiah Krom Chips  Comp,Appiah Nkwanta CHPS,Community Health Planning Services (CHPS) Compound,Government,5.637615,-2.444644,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Dawurampong,Dawurampong,Appiahkrom Nkwanta,Appiah Nkwanta Chps Compound,Appiah Nkwanta CHPS,Community Health Planning Services (CHPS) Compound,Government,5.773851,-1.956202,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Apremdo,Apremdo,Apremdo,Apremdo Market Chps,Apremdo CHPS,Community Health Planning Services (CHPS) Compound,Government,4.912716,-1.792242,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankrangwa,Asankrangwa,Asankragwa,Asanco Shs,Asanco SHS CHPS,Community Health Planning Services (CHPS) Compound,Government,5.808312,-2.42573,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankrangwa,Asankrangwa,Asankragwa,Asankragwa Ghps Compound,Asankrangwa CHPS,Community Health Planning Services (CHPS) Compound,Government,5.81382,-2.433769,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran Breman,Asankran Breman,Asankran Breman,Asankran Breman Health Centre,Asankran Breman Health Centre,Health Centre,Government,5.848752,-2.449259,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankran-Saa,Asankran Breman,Asankran Saa,Asankran Saa Health Centre,Asankran Breman Health Centre,Health Centre,Government,5.846387,-2.418925,13842,Western,Western,"01",45.9
Western,Ellembelle,Esiama,Esiama,Bobrama,Asanta Chps Compound,Asanta CHPS,Community Health Planning Services (CHPS) Compound,Government,4.916914,-2.29716,13842,Western,Western,"01",45.9
Western,Ellembelle,Asasetre,Nkroful,Asaetere,Asasetre Health Centre,Asasetre Health Centre,Health Centre,Government,5.024009,-2.348208,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,Bogoso,Akokobedi Aburo,Aseda Hospital,Aseda Hospital,Hospital,Private,5.57391,-2.029392,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,Bogoso,Bogoso,Aseda Specialist  Hospital,Aseda Hospital,Hospital,Private,5.569199,-2.015119,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,Apowa,Asemasa,Asemasa Chip Compound,Asamasa CHPS,Community Health Planning Services (CHPS) Compound,Government,4.853741,-1.891228,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Mampong (WAE),,Asesansu,Asesansu Chips Clinic,,,,6.060295,-2.160938,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,Prestea,Prestea,Asoampa Chps Compound,Asoampa CHPS,Community Health Planning Services (CHPS) Compound,Government,5.432075,-2.151382,13842,Western,Western,"01",45.9
Western,Ellembelle,New Aiyinase,New Aiyinase,Asomase,Asomase Chips Compound,Asomase CHPS,Community Health Planning Services (CHPS) Compound,Government,5.347057,-2.469763,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Anaji,Whindo,Assakai,Assakae Chips Compound,Assakae CHPS,Community Health Planning Services (CHPS) Compound,Government,4.931651,-1.795681,13842,Western,Western,"01",45.9
Western,Shama,Graveldo,Shama,Assorku-Essaman,Assorko Community New Chps Compound,Assorkor CHPS,Community Health Planning Services (CHPS) Compound,Government,5.052569,-1.667819,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Attobrakrom,Attobrakrom,Asuohyiam,Asuohyiam Clinic,Asuohyiam  CHPS,Community Health Planning Services (CHPS) Compound,Government,5.676241,-2.51447,13842,Western,Western,"01",45.9
Western,Wassa East,Ateiku,Ateiku,Atieku,Ateiku Christian Hospital,Ateiku Health Centre,Health Centre,Government,5.562899,-1.691221,13842,Western,Western,"01",45.9
Western,Wassa East,Ateiku,Ateiku,Atieku,Ateiku Health Centre,Ateiku Health Centre,Health Centre,Government,5.572755,-1.689676,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,Atobiase,Atobiase,Atobiase (Amansie Central) Health Centre,Atobiase Community Clinic,Clinic,Government,5.35319,-1.557247,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Asankrangwa,Atobiase,Atobrakrom,Atobiase Community Clinic,Akutuase Community Clinic,Clinic,Government,5.699404,-2.445454,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tarkwa,Auntie  Martha,,,,5.2998,-1.988762,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,,Atobiase,Auntie Araba,,,,5.353136,-1.557241,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Auntie Ewurasi,,,,4.885613,-1.762372,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Nananko,,Damoakrom,Aunty Aggi'S Clinic Centre,,,,5.8597,-1.922214,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,,Beppoh,Ave Maria Clinic,,,,5.605534,-2.058825,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,Bisaaso,Awrabo,Aworabo Clinic,Aworabo CHPS,Community Health Planning Services (CHPS) Compound,Government,5.475835,-2.493712,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,Apowa,Awrabo,Aworabo New Clinic,New Amanful CHPS,Community Health Planning Services (CHPS) Compound,Government,5.475363,-2.493189,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Awudua,Awudua,Awudua,Awudua Health Centre,Awudua Health Centre,Health Centre,Government,5.42679,-2.089936,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Awunakrom,Awunakrom Chps Compound,,,,4.958622,-1.87564,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Awunakrom,Awunakrom Clinic,,,,4.958046,-1.876385,13842,Western,Western,"01",45.9
Western,Nzema East,Axim-Nsein,Axim-Nsein,Axim (Lower),Axim Government Hospital,Axim Government Hospital,Municipal Hospital,Government,4.866525,-2.239091,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,Kwesimintsim Zongo,Aye'S Beauty Clinic,,,,4.917815,-1.789591,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Gravel Yard,Gravel Yard,Ayensukrom,Ayensukrom Chps Compound,Ayensu CHPS,Community Health Planning Services (CHPS) Compound,Government,5.403809,-2.50027,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Nsuta (Western),,Tarkwa,Ayims House,,,,5.297675,-1.992493,13842,Western,Western,"01",45.9
Western,Ellembelle,Ampain,Eikwe,Azuleloanu,Azuleluonu Chip Compound,Sanzule CHPS,Community Health Planning Services (CHPS) Compound,Government,4.946627,-2.379624,13842,Western,Western,"01",45.9
Western,Stma-Essikado Ketan,Essikado,,Bakado,Bakado Chps Compound,,,,4.944217,-1.727083,13842,Western,Western,"01",45.9
Western,Nzema East,Bamiankor,Bamiankor,Anibile (Anibile),Bamiankor Health Centre,Bamiankor Health Centre,Health Centre,Government,5.010663,-2.169058,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Apowa,,Beahu,Basic Construction Minning,,,,4.893873,-1.832871,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Beaver Clinic,,,,4.88376,-1.766536,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,Agona,Benda Nkwanta,Bena Nkwanta Chp Compund,Agona Nkwanta CHPS,Community Health Planning Services (CHPS) Compound,Government,5.539422,-2.540997,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,,Beenuye,Beneyie Clinic,,,,5.36907,-1.521253,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Benso,,Benso,Benso Health Centre,,,,5.161459,-1.889927,13842,Western,Western,"01",45.9
Western,Jomoro,Elubo,,Elubo,Bento,,,,5.291371,-2.775861,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bondaye,Prestea,Bepoase,Bepoase  Clinic,Bepoase CHPS,Community Health Planning Services (CHPS) Compound,Government,5.330711,-2.145658,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Adjakaa Manso,Afransie,Beposo Manhyia,Beposo Chps Centre,Beposo CHPS,Community Health Planning Services (CHPS) Compound,Government,5.902238,-2.187088,13842,Western,Western,"01",45.9
Western,Shama,Supomu Dunkwa,Supomu Dunkwa,Beposo,Beposo Chps Compound,Beposo CHPS,Community Health Planning Services (CHPS) Compound,Government,5.124898,-1.612001,13842,Western,Western,"01",45.9
Western,Mpohor,Adum Banso,,Ampeasem,Bertha Ennin,,,,5.044696,-1.949309,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Wassa Akropong,Bethany Clinic,Bethany Memorial Clinic,Clinic,Private,5.786841,-2.083591,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Wassa Akropong,Bethany Memorial Clinic,Bethany Memorial Clinic,Clinic,Private,5.786486,-2.083231,13842,Western,Western,"01",45.9
Western,Stma-Takoradi Sub Metro,Takoradi,,Takoradi,Bethel Methodist Medical Centre,,,,4.893111,-1.759241,13842,Western,Western,"01",45.9
Western,Wassa East,Ateiku,,New Subri,Betty Oye House,,,,5.539652,-1.76741,13842,Western,Western,"01",45.9
Western,Jomoro,Beyin,,Beyin,Beyin Chps Compound,,,,4.988043,-2.592243,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Agona (Ahanta West),Agona,Ewusiejoe,Biakakrom Ewusiejoe  Chps Compound,Ewusiejoe CHPS,Community Health Planning Services (CHPS) Compound,Government,4.89541,-1.902586,13842,Western,Western,"01",45.9
Western,Wassa Amenfi West,Bisaaso,Bisaaso,Nwansema Camp,Bisaaso Health Centre,Bisaaso Health Centre,Health Centre,Government,5.528176,-2.480923,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Dixcove,Dixcove,Boekrom,Boekrom Chip Compound,Boekrom CHPS,Community Health Planning Services (CHPS) Compound,Government,4.83543,-2.003943,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,Bogoso,Bogoso,Bogoso Health Centre,Bogoso Health Centre,Health Centre,Government,5.569338,-2.019664,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Bogoso,Bogoso,Kookoase,Bogoso Health Facility,Bogoso Health Centre,Health Centre,Government,5.554629,-1.999078,13842,Western,Western,"01",45.9
